start_time,request_type,latency,response_code
1676177073278,Post,24,201
1676177073302,Post,23,201
1676177073325,Post,22,201
1676177073347,Post,28,201
1676177073375,Post,30,201
1676177073405,Post,27,201
1676177073432,Post,29,201
1676177073461,Post,28,201
1676177073489,Post,28,201
1676177073517,Post,25,201
1676177073542,Post,24,201
1676177073566,Post,35,201
1676177073601,Post,50,201
1676177073651,Post,27,201
1676177073679,Post,43,201
1676177073722,Post,51,201
1676177073773,Post,23,201
1676177073796,Post,37,201
1676177073833,Post,26,201
1676177073859,Post,23,201
1676177073882,Post,22,201
1676177073904,Post,22,201
1676177073926,Post,22,201
1676177073948,Post,28,201
1676177073976,Post,26,201
1676177074003,Post,27,201
1676177074030,Post,26,201
1676177074056,Post,25,201
1676177074081,Post,67,201
1676177074148,Post,35,201
1676177074183,Post,35,201
